feature_family,component,descriptor_classes,language,ceiling_r2,ceiling_gain
constant_restriction_profile,codimension_3_output_1,675,NOR,0.893444531623862,0.0
constant_restriction_profile,codimension_3_output_1,675,AND_OR_NOT,0.9306219267955016,0.0
certificate_profile,output_0_certificate_0,675,NAND,0.893444531623862,0.0
certificate_profile,output_0_certificate_0,675,NOR,0.893444531623862,0.0
certificate_profile,output_0_certificate_0,675,AND_OR_NOT,0.9306219267955016,0.0
certificate_profile,output_0_certificate_1,675,NAND,0.893444531623862,0.0
certificate_profile,output_0_certificate_1,675,NOR,0.893444531623862,0.0
certificate_profile,output_0_certificate_1,675,AND_OR_NOT,0.9306219267955016,0.0
certificate_profile,output_0_certificate_2,735,NAND,0.9011272031696584,0.007682671545796493
certificate_profile,output_0_certificate_2,735,NOR,0.9018814778056413,0.00843694618177937
certificate_profile,output_0_certificate_2,735,AND_OR_NOT,0.940773905509806,0.0101519787143044
certificate_profile,output_0_certificate_3,751,NAND,0.9032360121437417,0.00979148051987977
certificate_profile,output_0_certificate_3,751,NOR,0.9050106557735248,0.011566124149662849
certificate_profile,output_0_certificate_3,751,AND_OR_NOT,0.9444045694207921,0.013782642625290498
certificate_profile,output_0_certificate_4,719,NAND,0.897344096471027,0.003899564847165027
certificate_profile,output_0_certificate_4,719,NOR,0.8975318430744567,0.004087311450594711
certificate_profile,output_0_certificate_4,719,AND_OR_NOT,0.9362456710062815,0.005623744210779935
certificate_profile,output_1_certificate_0,675,NAND,0.893444531623862,0.0
certificate_profile,output_1_certificate_0,675,NOR,0.893444531623862,0.0
certificate_profile,output_1_certificate_0,675,AND_OR_NOT,0.9306219267955016,0.0
certificate_profile,output_1_certificate_1,675,NAND,0.893444531623862,0.0
certificate_profile,output_1_certificate_1,675,NOR,0.893444531623862,0.0
certificate_profile,output_1_certificate_1,675,AND_OR_NOT,0.9306219267955016,0.0
certificate_profile,output_1_certificate_2,735,NAND,0.9018814778056413,0.00843694618177937
certificate_profile,output_1_certificate_2,735,NOR,0.9011272031696584,0.007682671545796493
certificate_profile,output_1_certificate_2,735,AND_OR_NOT,0.940773905509806,0.0101519787143044
certificate_profile,output_1_certificate_3,751,NAND,0.9050106557735247,0.011566124149662738
certificate_profile,output_1_certificate_3,751,NOR,0.9032360121437417,0.00979148051987977
certificate_profile,output_1_certificate_3,751,AND_OR_NOT,0.9444045694207921,0.013782642625290498
certificate_profile,output_1_certificate_4,719,NAND,0.8975318430744567,0.004087311450594711
certificate_profile,output_1_certificate_4,719,NOR,0.897344096471027,0.003899564847165027
certificate_profile,output_1_certificate_4,719,AND_OR_NOT,0.9362456710062815,0.005623744210779935
