truth_table,mean_certificate_size,anf_terms_degree_1,khrapchenko_product,decision_tree_leaf_count,target_NAND,lower_NAND,upper_NAND,position_NAND,target_NOR,lower_NOR,upper_NOR,position_NOR,target_AND_OR_NOT,lower_AND_OR_NOT,upper_AND_OR_NOT,position_AND_OR_NOT,exact_aon_cover_upper
13415,2.8125,2,5.0625,9,14.0,5.0625,24.0,0.5247524752475248,13.0,5.0625,24.0,0.47194719471947194,11.0,5.0625,14.555555555555555,0.7307973664959766,18
13416,2.9375,0,6.666666666666667,11,18.0,6.666666666666667,28.5,0.564885496183206,15.0,6.666666666666667,28.5,0.42748091603053434,12.0,6.666666666666667,17.444444444444443,0.5876288659793816,25
13417,3.375,4,9.142857142857142,13,22.0,9.142857142857142,33.0,0.5808383233532934,17.0,9.142857142857142,33.0,0.37125748502994016,16.0,9.142857142857142,20.333333333333332,0.7021276595744682,33
13418,3.125,1,6.34920634920635,11,15.0,6.34920634920635,28.5,0.4356861340021497,15.0,6.34920634920635,28.5,0.4356861340021497,13.0,6.34920634920635,17.444444444444443,0.6895565092989987,25
13419,3.25,3,7.5625,12,19.0,7.5625,30.75,0.5363881401617251,18.0,7.5625,30.75,0.49326145552560646,16.0,7.5625,18.88888888888889,0.8332311465358675,29
13420,2.75,1,5.142857142857143,10,13.0,5.142857142857143,26.25,0.4196277495769882,13.0,5.142857142857143,26.25,0.4196277495769882,10.0,5.142857142857143,16.0,0.5394736842105262,20
13421,3.0625,3,6.25,12,17.0,6.25,30.75,0.47959183673469385,16.0,6.25,30.75,0.4387755102040816,14.0,6.25,18.88888888888889,0.6923076923076923,26
13422,3.0,2,5.0625,10,12.0,5.0625,26.25,0.3746312684365782,14.0,5.0625,26.25,0.4690265486725664,11.0,5.0625,16.0,0.6342857142857142,21
13423,2.8125,2,5.142857142857143,10,13.0,5.142857142857143,26.25,0.4196277495769882,15.0,5.142857142857143,26.25,0.5143824027072759,11.0,5.142857142857143,16.0,0.631578947368421,20
13424,2.25,1,3.2666666666666666,7,11.0,3.2666666666666666,19.5,0.5379876796714579,9.0,3.2666666666666666,19.5,0.41478439425051333,7.0,3.2666666666666666,11.666666666666666,0.5634920634920636,14
13425,2.4375,3,4.063492063492063,9,14.0,4.063492063492063,24.0,0.5485668789808917,12.0,4.063492063492063,24.0,0.4482484076433121,11.0,4.063492063492063,14.555555555555555,0.7564296520423601,17
13426,2.5625,2,4.063492063492063,9,13.0,4.063492063492063,24.0,0.4984076433121019,12.0,4.063492063492063,24.0,0.4482484076433121,10.0,4.063492063492063,14.555555555555555,0.6611195158850227,17
13427,2.4375,2,4.0,8,12.0,4.0,21.75,0.5070422535211268,12.0,4.0,21.75,0.5070422535211268,10.0,4.0,13.11111111111111,0.7682926829268293,16
